Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA.BH.A1ES.01	0.00923315004928871	0	0.00218355612167484	0	0	0.0103193652197041	0	0.00715889703578494	0.00126875155630932	0	0.0016421480792128	0.00168291741626784	0	0.0265939699620959	0	0.0291786148147477	0	0.00295402851985207	0.00475137076526753	0	0	0	9999	0.0193938659306138	1.10621019075408	0.0969667695402057
TCGA.C8.A12M.01	0.0216333845698126	0	0.0147519564890119	0.017435638943291	0	0.0263288265852908	0	0.0185757711932262	0.00618919130768326	0.00366414397766183	0	0.000899108832204225	0	0.00905358535210874	0.00664364042658778	0.0242209482680097	0	0.000397075492562411	0.0174936604215312	0	0	0.00102063401705008	9999	0.0070760227467185	1.07302212530259	0.168307565876032
TCGA.A2.A0CY.01	0.0014172344870279	0	0.00306067257733291	0	0	0.00713711658537739	0	0.00513098025606707	0.00323509220466111	0	0.0116819491812846	0	0.000955138607695549	0.0468347369901632	0.00190078956003299	0.00597059460123596	0	0	0.0010898628934229	0	0	0	9999	0.120478532685239	1.10293960485554	0.0884141679443016
TCGA.A8.A08L.01	0.0238975008322396	0	0.00335785292664095	0.0297546185805169	0	0.0815892888960226	0.00295915557774082	0.0321180642506475	0.0252186818207045	0	0.0167497564892114	0	0.0125479160432515	0.0419449870511313	0.038850484728533	0.0749629484248429	0	0	0.00933607879372614	0	0	0	9999	0.220869604457852	0.999541436718537	0.393287334415209
TCGA.OL.A5S0.01	0.00558306932053893	0	0.00184707495166226	0.0147627284695083	0	0.0170934088380108	0	0.0420527558077627	0.00954366797921122	0	0	0.00665920537038813	0	0.169743349949469	0.0594939844438617	0.08160390213656	0	0	0.00879123226034933	0	0	0	9999	0.425525420750659	0.919218042241241	0.417174379527323
TCGA.C8.A1HJ.01	0.034846978138148	0	0.0128753293118984	0.0116978150393198	0	0.0279190382230019	0.0104452656827602	0.031574921598612	0.00207928091122902	0.00229637765920197	0.0111810186184034	0	0	0.0169422026084941	0.0283242872745708	0.0321337632310677	0	0.0142767874343538	0.00114096146764746	0	0	0	9999	0.0837321592076781	1.05629637681924	0.237734027198709
TCGA.BH.A0BR.01	0.0151346872346453	0	0	0.00828031203602407	0	0.02462819879925	0	0.0182497127832135	0.01615618075016	0	0.00515803762648009	0	0	0.140780693195999	0.00654580387440556	0.0876842775928081	0	0.00667157055695815	0.0128782974594552	0	0	0	9999	0.306827366801728	0.988395130796406	0.342167771909399
TCGA.AO.A12E.01	0.0294480564179376	0	0.0146312327748555	4.32806312113897e-05	0	0.0214720356880183	0	0.0074802788901518	0	0	0.00293672306294704	0	0.0121804781485124	0.00505408215853905	0.00573334414570809	0.0850064494587425	0	0.0012243947363741	0.0494789471943391	0	0	0	9999	0.116688317210397	1.03956399205715	0.234689303307337
TCGA.S3.AA15.01	0.0720731374851361	0.13017768926784	0.21952869489175	0.0887994151037172	0	0.0495580132425736	0.00664577184649324	0.0611064490937087	0.017540753728274	0	0.0187049891386862	0	0.00859311251787823	0.0650635587853867	0.0348381056340855	0.153372171323029	0	0	0.0333200966756476	0	0	0	9999	0.371809093866574	0.928721381107814	0.959321958734206
TCGA.OL.A5D7.01	0.0308332663939178	0.0129998354501688	0.00944175616348229	0.0801665479722306	0	0.031260478325576	0.0233138343631896	0.111518042686597	0.0124963476931254	0	0.0199699982386517	0	0.00200409578184245	0.0442079580839775	0.0616175562998485	0.0560875384329763	0	0.00409145103753639	0.00631062494564758	0	0	0	9999	0.225202289446298	1.0029625275949	0.506319331868768
TCGA.OL.A5DA.01	0.0190274410390788	0	0.0134483885011514	0.0248487988354107	0	0.0314136432140139	0	0.0426763427552657	0.00241182350494776	0.000279853587553214	0	0	0	0.00214734028518934	0.0194126766793436	0.0459283433819989	0	0	0.0120188090994309	0	0	0	9999	0.0690246371294494	1.06049057396218	0.213613460883384
TCGA.B6.A0RL.01	0	0.000920563381784819	0	0	0	0.0110602785769093	0	0.0112214566136725	0.00354635582786985	0	0.00181024869114087	0.000814483225130583	0.00164035847097585	0.0146426610702554	0.000286117280962869	0.0043641695185879	0	0	0.00246903749433024	0	0.000197547333578396	0	9999	-0.0243570140725829	1.12047663477629	0.0529732774851985
TCGA.OL.A66N.01	0.00199667957271667	0.0180484417190399	0.0533774614571753	0.0410758408684955	0	0.0471934504894396	0	0.0352692392016811	0.000104059930880946	0	0	0.0166625359502798	0.00488097098393107	0	0.00309470210633424	0.102519730554231	0	0.000948172449722918	0.0799994805023409	0	0	0	9999	0.14431983756724	1.01860374969586	0.40517076578627
TCGA.E9.A1ND.11	0.0279042917687142	0	0.0030012108682253	0.0365846241811276	0	0.0198442299576576	0	0.00405578282340224	0	0	0.0222128036184359	0	0.0048486497124749	0.103353383059026	0.0112083814379996	0.279219325908269	5.03183412255636e-05	0	0.0353243831530676	0	0	0	9999	0.331923841476097	0.967500353397897	0.547607384829626
TCGA.A2.A0CM.01	0.0052267466965126	0	0.00735415221168945	0.033820154240529	0	0.0622043807405501	0.00136417361500311	0.0608227966321674	0.0223329362342762	0	0.00398331445956899	0.0248229147958659	0.0155060966857172	0.127163511529849	0.0902214929464364	0.0277573590111195	0.000296660375893713	0	0.0251471674074933	0	0	0	9999	0.33224873934683	0.958612541111514	0.508023857582672
TCGA.S3.A6ZG.01	0.0205910760998625	0	0.0271186023804669	0.0176410385225699	0	0.0239135829377944	0	0.0179239216954919	0.00371938691990259	0	0.00423080030203901	0.00343108481851225	0.00244418454832829	0.016953074252863	0.0108009581410027	0.0764914902028637	0	0	0.0474131860698993	0	0	0	9999	0.0503221061579818	1.05387606260653	0.272672386891596
TCGA.E9.A1RB.01	0.00060452992538437	0.000345496333666991	0.000197470242995182	0	0	0.0157264015110974	0	0.0115977152178831	0.00796069268018344	0	0.00475828490490947	0	0	0.0900259525311717	0.000608455376083004	0.024505174975602	0	0	0.0109345629811902	0	0	0	9999	0.313885863589786	1.0003887019764	0.167264736680167
TCGA.A2.A4RY.01	0.0798635964695622	0	0.0126459293317375	0.0288419734806709	0	0.0336935417285534	0	0.0672670099578043	0	0	0.00618098759717559	0	0.00919309805868982	0.00936246902593198	0.0176479612681599	0.0817462106893343	0.00478473029684168	0.00437293281418653	0.03551110304961	0	0	0	9999	0.104349214043289	1.03777120808066	0.391111543768258
TCGA.E9.A1R6.01	0.00660855163800765	0	0.00396586781179127	0.000191124519427898	0	0.00280188848731303	0	0.00652450898742141	0.00747558471518565	0	0	0.00183804121784094	0	0.0416427259222915	0.00468936586451233	0.0406067557296439	0	0	0.0131540748707018	0	0	0	9999	0.0645266816066959	1.1017302911807	0.129498489764137
TCGA.E9.A1R3.01	0.0114134548475326	0	0.000211007634536294	0	0	0.0352289417845357	0	0.0111012685161528	0.000972883996621564	0	0.00607361721766108	0	0	0.0459904391768754	0.00961754882160349	0.110670761946009	0.0162890614233288	0.0158796018592169	0.0175768781739934	0	0	0.00114520006836179	9999	0.175902847153112	1.03342194303742	0.282170665466429
TCGA.D8.A1JK.01	0.01878353886383	0	0.0179596398141744	0.0188355084974808	0	0.0516988935784722	0.00739249512422996	0.0368358577213567	0.0186781428196726	0	0.0141812141256544	0.00328632556457671	0	0.131106974656962	0.0655422423275771	0.078806152463401	0	0	0.01411590230354	0	0	0	9999	0.102071812522216	1.06700462240702	0.477222887860928
TCGA.A2.A0CR.01	0.0738869245333394	0.00731671930466542	0.0102450525302549	0.209929697922562	0	0.19924837527358	0	0.108086442347537	0.0715207073348984	0	0	0.0341801640171965	0.0171293272735943	0.120994368359014	0.070674335748363	0.122391168950268	0	0	0.0277347662952955	0	0	0	9999	0.531534509553565	0.848257720688484	1.07333804989057
TCGA.BH.AB28.01	0.0745230368701269	0	0	0.0222513795287797	0	0.043440393139004	0	0.0376608295257057	0.0152967659565674	0	0.0083665628717111	0	0.00730484888356602	0	0.0258669820437785	0.110955463677167	0	0	0.00899873335181559	0	0	0	9999	0.155321349015442	1.02662218129877	0.354664995848222
TCGA.E2.A10C.01	0.0238843950847743	0	0.00619970056900542	0.0473617171720623	0	0.0510103859306738	0	0.0352118104551057	0.0302895668459459	0	0.00495745472033169	0	0	0.102583544015964	0.0219579490001208	0.0658844211080198	0	0	0.0168549691453845	0	0	0	9999	0.107695636394364	1.0547073456645	0.406195914047388
TCGA.B6.A0WW.01	0.0102417040624008	0	0.00443330564813588	0.00119678048847783	0	0.0168651868680298	0	0.0101840045096506	0.00375146173587203	0	0.00392755042553923	0	0	0.0144834149313962	0.0112440956362444	0.0324057822707265	0	0	0.00810183022266628	0	0	0	9999	0.0574109731244686	1.06390499650717	0.11683511679914
TCGA.BH.A6R8.01	0.0157208674707057	0	0.00238321445980522	0.0133218835378583	0	0.0183199671062578	0	0.0275498395820191	0.025683524232579	0	0.0117486931181058	0	0	0.0658163924980085	0.0204816398345993	0.0748578315892672	0	0	0.0115725179694197	0	0	0	9999	0.258777940092576	0.987463634313434	0.287456371398626
TCGA.D8.A27L.01	0.0305429171112662	0	0.0197599681936356	0	0	0.0570080265543059	0	0.026982036672665	0.020001592003139	0	0.014125933592866	0	0.0031821059330505	0.0375687655618687	0.0296417913237517	0.113866379961191	0.00559579868299896	0	0.0846217476314347	0	0	0	9999	0.149197818345704	1.02092762464366	0.442897063222173
TCGA.BH.A0EE.01	0.0240280562863415	0	0.00869073779711075	0.00228966440812511	0	0.0352686368222631	0	0.017710342497761	0.0113998941595723	0	0.0156224674150156	0	0	0.0135098446300267	0.0409357332476118	0.0290699507814955	0	0.0176200195381283	0.00939691514071506	0	0	0	9999	0.265092281803639	0.988614235682422	0.225542262724167
TCGA.D8.A1JG.01	0.0217807745487724	0	0.0673010862561592	0.0027368809569399	0	0.108784535755546	0	0.0259450273359458	0.00989392021125517	0	0.0269162197738177	0	0.00133994991876182	0.0577151251274419	0.0632051151392707	0.102037657509215	0.00297376410088113	0	0.0163633052839174	0	0	0	9999	0.202395658071247	1.00144081296927	0.506993361917924
TCGA.C8.A133.01	0.000129673025720703	0	0.000106616131392282	0	0	0.013323893351399	0	0.00123137990105717	0.00444066553449609	0	0.000203629567213517	0	0.0016786304645868	0.0045776559069952	0.00109367057570224	0.013929776818848	0	0	0.0159772473356124	0	0	0	9999	-0.00294005981662515	1.09824040123388	0.0566928386130233
